Item,Description,Brand,Packaging,Ship,Weight,Volume,Qty Break,Price
11000030,Thin Soy Sauce,Dragon Fly,12x21 FL.OZ,CS,32.00,0.02,0,32.00
11000032,Black Soy Sauce,Dragon Fly,12x21 FL.OZ,CS,34.00,0.02,0,37.50
11000034,Sweet Soy Sauce,Dragon Fly,12x21 FL.OZ,CS,35.00,0.02,0,37.50
11000060,Mae Krua Oyster Sauce (L),Mae Krua,12x20 OZ,CS,33.00,0.03,0,40.50
,,,,,,,3,39.16
11000062,Mae Krua Oyster Sauce (S),Mae Krua,12x10 OZ,CS,20.00,0.02,0,27.75
,,,,,,,3,27.08
11000125,Shark Sriracha Sauce (M.Hot),Shark,12x25 FL.OZ,CS,37.00,0.03,0,53.00
11000126,Shark Sriracha Sauce (Stg Hot),Shark,12x25 FL.OZ,CS,37.00,0.03,0,54.50
11000151,Sweet Chilli Sauce/Chicken (L),Pantai,12x31.4 OZ,CS,37.00,0.02,0,50.00
11000156,Spring Roll Sweetened Sauce,Pantai,24x13.2 OZ,CS,35.00,0.02,0,51.50
11000331,Laos Style Bamboo Shoot (Tip),Pantai,12x16 OZ,CS,20.00,0.01,0,42.75
11000333,Sour Bamboo Shoot Strip in Bai Yanang Juice,Pantai,12x16 OZ,CS,20.00,0.01,0,43.25
11000341,Bamboo Shoot Sliced w/Bai Yanang&Chilli,Pantai,12x24 OZ,CS,29.00,0.02,0,43.00
11000343,Laos Style Bamboo Shoot (Sliced),Pantai,12x24 OZ,CS,29.00,0.02,0,48.50
11000345,"Sour Bamboo Shoot w/Bai Yanang,Chilli &Mushroom",Pantai,12x24 OZ,CS,29.00,0.02,0,45.00
11000400,Black Garlic,B-Garlic,12x3.52 OZ,CS,5.00,0.02,0,74.75
11000560,Agar Agar Powder,Telephone,100x25 G,CS,7.00,0.01,0,147.75
11001019,Bamboo Shoot Strip w/Bai Yanang Juice,Pantai,12x24 OZ,CS,30.00,0.02,0,42.50
11001021,Bamboo Shoot Strip w/Bai Yanang Chilli,Pantai,12x24 OZ,CS,30.00,0.02,0,43.50
11001120,Preserved Cabbage,Lychee,2x12x14 OZ,CS,25.00,0.03,0,39.00
11001140,Fried Garlic (S),P.Prateep,48x3.5 OZ,CS,15.00,0.03,0,70.25
11001150,Fried Onion (S),P.Prateep,48x3.5 OZ,CS,15.00,0.03,0,88.75
11001152,Fried Garlic (L),P.Prateep,24x7 OZ,CS,15.00,0.04,0,69.00
11001155,Fried Onion (L),P.Prateep,24x7 OZ,CS,15.00,0.04,0,88.50
11001160,Fried Shallot (200 G),Asian Best,24x200 G,CS,15.00,0.04,0,94.50
11001200,Preserved Whole Radish,Asian Best,60x8 OZ,CS,33.00,0.02,0,79.50
11001202,Preserved Chopped Radish,Asian Best,60x8 OZ,CS,33.00,0.02,0,79.50
,,,,,,,2,78.23
11001204,Preserved Shredded Radish,Asian Best,60x8 OZ,CS,33.00,0.02,0,79.50
11002860,Thai Tea (Bag),Hand Brand,12x400 G,CS,12.00,0.02,0,41.25
11002900,Palm Sugar,Thai,24x1 LB,CS,29.00,0.02,0,62.50
