Item,Description,Brand,Packaging,Ship,Weight,Volume,Qty Break,Price
11000030,Thin Soy Sauce,Dragon Fly,12x21 FL.OZ,CS,32.00,0.02,0,33.50
11000032,Black Soy Sauce,Dragon Fly,12x21 FL.OZ,CS,34.00,0.02,0,40.25
11000034,Sweet Soy Sauce,Dragon Fly,12x21 FL.OZ,CS,35.00,0.02,0,40.25
11000060,Mae Krua Oyster Sauce (L),Mae Krua,12x20 OZ,CS,33.00,0.03,0,43.00
,,,,,,,3,41.58
11000062,Mae Krua Oyster Sauce (S),Mae Krua,12x10 OZ,CS,20.00,0.02,0,31.25
,,,,,,,3,30.50
11000125,Shark Sriracha Sauce (M.Hot),Shark,12x25 FL.OZ,CS,37.00,0.03,0,55.75
11000126,Shark Sriracha Sauce (Stg Hot),Shark,12x25 FL.OZ,CS,37.00,0.03,0,57.75
11000151,Sweet Chilli Sauce/Chicken (L),Pantai,12x31.4 OZ,CS,37.00,0.02,0,54.25
11000156,Spring Roll Sweetened Sauce,Pantai,24x13.2 OZ,CS,35.00,0.02,0,57.25
11000331,Laos Style Bamboo Shoot (Tip),Pantai,12x16 OZ,CS,20.00,0.01,0,44.25
11000333,Sour Bamboo Shoot Strip in Bai Yanang Juice,Pantai,12x16 OZ,CS,20.00,0.01,0,46.75
11000341,Bamboo Shoot Sliced w/Bai Yanang&Chilli,Pantai,12x24 OZ,CS,29.00,0.02,0,47.00
11000343,Laos Style Bamboo Shoot (Sliced),Pantai,12x24 OZ,CS,29.00,0.02,0,53.50
11000345,"Sour Bamboo Shoot w/Bai Yanang,Chilli &Mushroom",Pantai,12x24 OZ,CS,29.00,0.02,0,49.00
11000400,Black Garlic,B-Garlic,12x3.52 OZ,CS,5.00,0.02,0,76.50
11000560,Agar Agar Powder,Telephone,100x25 G,CS,7.00,0.01,0,149.50
11001019,Bamboo Shoot Strip w/Bai Yanang Juice,Pantai,12x24 OZ,CS,30.00,0.02,0,47.00
11001021,Bamboo Shoot Strip w/Bai Yanang Chilli,Pantai,12x24 OZ,CS,30.00,0.02,0,48.00
11001120,Preserved Cabbage,Lychee,2x12x14 OZ,CS,25.00,0.03,0,43.50
11001140,Fried Garlic (S),P.Prateep,48x3.5 OZ,CS,15.00,0.03,0,71.75
11001150,Fried Onion (S),P.Prateep,48x3.5 OZ,CS,15.00,0.03,0,89.75
11001152,Fried Garlic (L),P.Prateep,24x7 OZ,CS,15.00,0.04,0,70.50
11001155,Fried Onion (L),P.Prateep,24x7 OZ,CS,15.00,0.04,0,89.50
11001160,Fried Shallot (200 G),Asian Best,24x200 G,CS,15.00,0.04,0,96.50
11001200,Preserved Whole Radish,Asian Best,60x8 OZ,CS,33.00,0.02,0,81.00
11001202,Preserved Chopped Radish,Asian Best,60x8 OZ,CS,33.00,0.02,0,81.00
,,,,,,,2,79.70
11001204,Preserved Shredded Radish,Asian Best,60x8 OZ,CS,33.00,0.02,0,81.00
11002860,Thai Tea (Bag),Hand Brand,12x400 G,CS,12.00,0.02,0,43.00
11002900,Palm Sugar,Thai,24x1 LB,CS,29.00,0.02,0,64.00
11003220,Gogi Tempura Batter,Gogi,6x12x5.3 OZ,CS,26.00,0.03,0,55.00
11003300,Mung Bean Flour (Salim Starch),Pine,20x17.5 OZ,CS,25.00,0.03,0,67.75
11005002,Euro Custard Cake,Euro,12x6x24 G,CS,7.00,0.03,0,26.00
,,,,,,,5,25.35
,,,,,,,66,24.71
11006100,Herbal Toothpaste Original,Twin Lotus,12x5.3 OZ,CS,5.00,0.01,0,23.25
11008316,Sweet Rice Steamer,Thai,6x24 CM,CS,13.00,0.09,0,63.75
11008318,Bamboo Basket (Huad),Thai,1x12 PC,CS,6.00,0.08,0,40.50
11008406,Parn Mark,Thai,1x26 CM,CS,2.00,0.01,0,29.25
11008410,Kan Nam Parnrong,Thai,1x21 CM,CS,3.00,0.01,0,26.25
11008660,Rice Serving Bowl,Seal,1x20 CM,CS,3.00,0.01,0,27.25
11008800,Stone Mortar,Thai,4x1 SET,CS,35.00,0.02,0,81.25
11008802,Stone Mortar (Mini),Thai,6x1 SET,CS,36.00,0.01,0,101.25
11008804,Stone Pestle (6 inc.),Thai,6x1 SET,CS,8.00,0.00,0,27.25
11008812,Lao Mortar,Thai,4x1 SET,CS,24.00,0.03,0,39.00
11008840,Chopsticks 8.5,Asian Best,24x50 Pairs,CS,19.00,0.03,0,33.25
11008842,Skewers 8,Asian Best,48x200 PCS,CS,27.00,0.03,0,34.50
11009016,Incense Stick,Thai,50x6x9 PC,CS,11.00,0.03,0,59.75
11009020,Yellow Candle #12,Thai,6x51 PC,CS,3.00,0.00,0,12.75
11009022,Yellow Candle #16,Thai,6x51 PC,CS,6.00,0.01,0,19.75
11009024,Yellow Candle #19,Thai,6x51 PC,CS,7.00,0.01,0,23.25
11009030,Red Candle #12,Moonlight,6x51 PC,CS,2.00,0.00,0,13.75
11009032,Red Candle #16,Moonlight,6x51 PC,CS,5.00,0.01,0,20.75
11009034,Red Candle #19,Moonlight,6x51 PC,CS,8.00,0.01,0,27.25
11009040,White Candle #12,Moonlight,6x51 PC,CS,2.00,0.00,0,12.25
11009042,White Candle #16,Moonlight,6x51 PC,CS,5.00,0.01,0,18.25
11009044,White Candle #19,Moonlight,6x51 PC,CS,8.00,0.01,0,24.25
11101120,Soured Pickled Mustard in Vacuum Bag,Pigeon,36x350 G,CS,33.00,0.02,0,39.50
11101130,Salted Lettuce,Pigeon,48x140 G,CS,20.00,0.01,0,39.75
11101131,Vegetable Vegetarian,Pigeon,48x140 G,CS,21.00,0.01,0,39.75
11101132,Sweetened Pickled,Pigeon,48x140 G,CS,20.00,0.01,0,39.75
11101134,Mixed Veg.Pickled,Pigeon,48x140 G,CS,20.00,0.01,0,39.75
11101136,Hot & Sour Pickled,Pigeon,48x140 G,CS,20.00,0.01,0,39.75
11101138,Salted Lettuce W/Chilli,Pigeon,48x140 G,CS,20.00,0.01,0,39.75
11101139,Mustard Green (Rich-Tasting),Pigeon,48x140 G,CS,20.00,0.01,0,39.75
11207018,Gourami Fish Gutted XXL -F-,Asian Best,20x10 OZ,CS,15.00,0.02,0,79.00
,,,,,,,2,77.97
,,,,,,,5,77.03
11207020,Gourami Fish Gutted XL -F-,Asian Best,20x10 OZ,CS,14.00,0.02,0,69.50
,,,,,,,2,64.36
11207102,Whiteleg Shrimp (Kung Foy M) -F-,Asian Best,25x12 OZ,CS,23.00,0.03,0,90.00
,,,,,,,5,87.53
,,,,,,,60,86.85
,,,,,,,120,85.50
11207401,Turmeric -F-,Asian Best,24x4 OZ,CS,7.00,0.01,0,26.75
11207402,Tom Yum Set -F-,Asian Best,24X4.23 OZ,CS,8.00,0.01,0,29.50
11403125,Jasmine Rice (25#),Jasmine,1x25 LBS,BG,25.00,0.02,0,25.50
,,,,,,,50,25.25
,,,,,,,100,24.99
,,,,,,,300,24.35
11403128,Jasmine Rice (25#) New Crop,Jasmine,1x25 LBS,BG,25.00,0.02,0,26.00
,,,,,,,50,25.74
,,,,,,,100,25.48
,,,,,,,300,24.83
11403150,Jasmine Rice (50#),Jasmine,1x50 LBS,BG,50.00,0.03,0,50.00
,,,,,,,25,49.50
,,,,,,,50,49.00
,,,,,,,150,47.75
11403151,Jasmine Rice (5X10#),Jasmine,5x10 LBS,BG,50.00,0.03,0,53.75
11403158,Jasmine Rice (50#) New Crop,Jasmine,1x50 LBS,BG,50.00,0.03,0,51.00
,,,,,,,25,50.49
,,,,,,,50,49.98
,,,,,,,150,48.71
11403325,Asian Best Jasmine Rice (25#),Asian Best,1x25 LBS,BG,25.00,0.02,0,25.75
,,,,,,,50,25.49
,,,,,,,100,25.24
